"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2005,"Sales","Ateneo de Manila University","Female",11000,1.849,20339,"No","11k basic pay plus some allowances, total 15k"
2017,"Construction and Engineering","University of the Philippines - Los Baños","Male",15000,1.168,17520,"No","I am unlicensed and a fresh grad when I got my first job."
2009,"Technology","Ateneo System University","Male",14000,1.477,20678,"No",""
2011,"Academe & Education","Ateneo de Manila University","Female",18000,1.365,24570,"No","18,000 was the gross pay "
2011,"Media and Communication","University of the Philippines - Diliman","Female",12500,1.365,17062.5,"No","I wasnt a direct hire. My employment was through an outsourcing company that assured me there was a possibility for a direct hire and a higher salary."
2011,"Media and Communication","University of the Philippines - Diliman","Female",12500,1.365,17062.5,"No","I wasnt a direct hire. My employment was through an outsourcing company that assured me there was a possibility for a direct hire and a higher salary.

When I found out about a male counterpart's salary it was 13k (as opposed to my 12500) despite me getting latin honors in my school.

I usually took home 15k a month though because of the additional OT pay."
2019,"Research","University of the Philippines - Diliman","Male",21000,1.08,22680,"Yes","Negotiated but they apparently work on a tier system for salaries."
2016,"Business Process Outsourcing","N/A (Unspecified)","Not specified/Unclear",25000,1.183,29575,"Unspecified",""
2017,"Business","University of the Philippines - Diliman","Female",15000,1.168,17520,"No","My starting was 15k for 4hours/day of work"
2017,"Technology","University of the Philippines - Diliman","Male",30000,1.168,35040,"No",""
2018,"Healthcare","N/A (Unspecified)","Female",52000,1.136,59072,"No",""
2019,"Law","Other universities","Male",45000,1.08,48600,"No","My gross doesnt account for other benefits. I have a low base pay but guaranteed allowances which provides me with a tax shield."
2013,"Other industries","Other universities","Female",7000,1.265,8855,"No","Worked in the province and it tuned out that it was the literal minimum wage at the time. "
2017,"Finance","UP System University","Female",28000,1.168,32704,"No",""
2018,"Retail","University of the Philippines - Diliman","Female",25000,1.136,28400,"No",""
2017,"Finance","De La Salle University - Manila","Male",27000,1.168,31536,"No",""
2019,"Arts and Design","University of the Philippines - Diliman","Male",17000,1.08,18360,"No","Also have other clients to add to that salary"
2019,"Research","Other universities","Female",22600,1.08,24408,"Yes","Job Order so no benefits. I get to have flexible working hours and WFH"
2015,"Marketing","Other universities","Not specified/Unclear",13000,1.191,15483,"No",""
2017,"Technology","Other universities","Male",25000,1.168,29200,"No","Had credentials which is why the first one was kinda big compared to others"
2017,"Other industries","Ateneo de Manila University","Male",21000,1.168,24528,"Yes",""
2019,"Government","University of the Philippines - Los Baños","Female",27500,1.08,29700,"No","Contract of Service, so no benefits"
2018,"Finance","De La Salle University - Manila","Female",20000,1.136,22720,"Yes",""
2017,"Advertising","University of the Philippines - Diliman","Female",15000,1.168,17520,"No","15,000 was supposed to be my basic pay but my employer tricked me. Being the fresh grad that I am during that time, I only knew that the 15k that I was supposed to receive was inclusive of the allowance already (which should not be the case since during the interview, employer said that allowance would be separate from the 15k basic pay that I was supposed to receive) when I got my first pay slip. Beware of employers who scam fresh grad. Always clarify everything during the interview. "
2018,"Marketing","Other universities","Male",20000,1.136,22720,"No",""
2019,"Government","University of the Philippines - Diliman","Male",24000,1.08,25920,"No","Since gov't work, standardized na talaga yung pay, regardless of sex and gender."
2018,"Technology","Polytechnic University of the Philippines - Manila","Female",16000,1.136,18176,"No",""
2019,"Academe & Education","University of the Philippines - Diliman","Female",14000,1.08,15120,"No","Fresh grad didn’t know any better lol"
2016,"Research","Ateneo de Manila University","Female",25000,1.183,29575,"No",""
2014,"Technology","Other universities","Female",26000,1.234,32084,"No","I knew it was one of the good offers already in our industry so no, I did not negotiate. I was also given a starting bonus."
2014,"Human Relations","University of Santos Tomas","Female",16000,1.234,19744,"No",""
2019,"Advertising","Polytechnic University of the Philippines - Manila","Female",15000,1.08,16200,"No",""
2019,"Construction and Engineering","University of Santos Tomas","Male",15000,1.08,16200,"No",""
2019,"Media and Communication","UP System University","Female",20000,1.08,21600,"No",""
2016,"Business Process Outsourcing","University of Santos Tomas","Female",15000,1.183,17745,"No",""
2017,"Research","Ateneo de Manila University","Male",23000,1.168,26864,"No","My consultancy company who hired me told me the client who will pay the company for my salary said that I can ask for up to ₱25000. Nahiya naman ako kung sagad siya so I asked for 23k instead."
2017,"Academe & Education","University of the Philippines - Diliman","Female",25000,1.168,29200,"No",""
2019,"Advertising","Other universities","Female",36000,1.08,38880,"Yes","Excluding bonuses, base pay was about 25,000 and figured I might try to negotiate. Fortunately, it was granted."
2016,"Business Process Outsourcing","FEU System University","Female",19000,1.183,22477,"No",""
2019,"Media and Communication","University of Santos Tomas","Female",17000,1.08,18360,"No",""
2018,"Technology","University of the Philippines - Diliman","Male",31000,1.136,35216,"No","Growth is very fast, I've been promoted and now have increased my salary by 60% since I started"
2014,"Business Process Outsourcing","Other universities","Female",12000,1.234,14808,"No","I wasn’t a regular employee for the BPO company. I worked as an Outsourced personnel working as Recruitment Analyst. "
2017,"Real Estate","Saint Louis University","Male",15000,1.168,17520,"No",""
2017,"Healthcare","Other universities","Female",50000,1.168,58400,"No","We work per hour. The hourly rate depends on the center we work at. Our professional fee ranges between 300-400 per hour."
2017,"Healthcare","N/A (Unspecified)","Female",18000,1.168,21024,"No","I applied initially knowing that I was only to do graphic design work and other small stuff. Little did I know I was supposed to wear many hats. 18k was base pay excluding other company benefits like free monthly products. No OT pay but always OT-ed til wee hours of the morning because of excessive work. You get a raise every year depending on your performance but it's only up to 20% of your base pay. Not much chances for promotion."
2019,"Finance","University of the Philippines - Los Baños","Female",18000,1.08,19440,"No","The job was a 6-month contract only. No benefits involved. "
2019,"Business Process Outsourcing","University of the Philippines - Diliman","Female",21000,1.08,22680,"No","They asked in the application form for an expected salary. (I put 20-25k since the position had nothing to do with my degree). The salary is gross income with allowances, but the basic pay is around 19k."
2018,"Other industries","UP System University","Female",19000,1.136,21584,"No",""
2018,"Research","University of the Philippines - Los Baños","Male",37000,1.136,42032,"No","I was hired as a paid intern. They said during the interview that it would be the stipend that I would receive. I thought it was a joke and after the interview my ""would be"" supervisor told me that it was too high and she said it's gonna be lower. So when the papers started and when I went on my first day, it stipulated in the contract that I would be really paid that."
2018,"Technology","De La Salle University - Manila","Male",25000,1.136,28400,"No","I felt like a priviledge working with the organization initially"
2017,"Retail","University of the Philippines - Diliman","Female",16000,1.168,18688,"Yes","I asked for P 15k to 18k during the interview. Started with P 16k. 2018 i was earning P18k. 2019, i was promised to have P20k monthly but that didn't happen. "
2018,"Manufacturing","De La Salle University - Manila","Male",54000,1.136,61344,"No",""
2019,"Government","Other universities","Male",24000,1.08,25920,"No",""
2017,"Technology","Other universities","Female",12000,1.168,14016,"No","I was recruited via an agency and the pay would have been 10000 without overtime which the job had required. And you couldn't quit unless the contractor terminated your contract. I was desperate for a job because my parents pressured me to get one despite wanting to pursue the job I liked."
2019,"Business Process Outsourcing","Other universities","Male",18000,1.08,19440,"No",""
2019,"Other industries","UP System University","Female",16000,1.08,17280,"No",""
2013,"Academe & Education","University of Santos Tomas","Female",12000,1.265,15180,"No",""
2012,"Law","Ateneo System University","Male",45000,1.3014,58563,"No","The base salary above does not reflect the bonuses and other benefits. "
2018,"Other industries","Other universities","Female",15000,1.136,17040,"No",""
2016,"Business Process Outsourcing","Polytechnic University of the Philippines - Manila","Male",20500,1.183,24251.5,"Yes","I requested for an 18000 salary but the manager wanted me to be competitive in asking for my pay. So I told them 20000."
2018,"Arts and Design","University of the Philippines - Diliman","Female",15000,1.136,17040,"No","It was only for the duration of the current exhibit run (~2-3 months on 5.5-day work weeks). The hiring manager explained that they can only pay that much because it's a contractual job."
2013,"Media and Communication","Other universities","Male",12000,1.265,15180,"No","My salary never changed for about three years. It was only when I reached my fourth year that I got a ""raise"" which wasn't even that substantial. "
2018,"Technology","De La Salle University - Manila","Male",25000,1.136,28400,"No","Interned at company first"
2018,"Media and Communication","UP System University","Female",17000,1.136,19312,"Yes",""
2008,"Business Process Outsourcing","FEU System University","Male",12000,1.599,19188,"No","Since it’s my first job i did not negotiate"
2013,"Technology","University of Santos Tomas","Male",25000,1.265,31625,"No",""
2018,"Technology","Other universities","Female",16000,1.136,18176,"No",""
2019,"Government","University of the Philippines - Diliman","Male",30000,1.08,32400,"No",""
2017,"Academe & Education","University of Santos Tomas","Female",16500,1.168,19272,"No",""
2019,"Advertising","De La Salle University - Manila","Male",18000,1.08,19440,"No",""
2018,"Business Process Outsourcing","Ateneo de Manila University","Female",21000,1.136,23856,"No",""
2017,"Advertising","University of the Philippines - Los Baños","Female",14000,1.168,16352,"No","Applied because I was jealous that my fresh grad friends were working 😅 So I didn't really care about how low the salary was. Not until I finished the first month. #Unfair"
2018,"Manufacturing","UP System University","Female",11550,1.136,13120.8,"No",""
2019,"Manufacturing","Other universities","Not specified/Unclear",15000,1.08,16200,"Yes",""
2018,"Other industries","Ateneo de Manila University","Female",18000,1.136,20448,"No","My salary did not justify the work I've been doing. I was overworked and did a lot of overtime as well."
2019,"Technology","Other universities","Female",27000,1.08,29160,"No","Normally, it's just 25000. But I had a Latin honor (Magna Cum Laude) so they added 2000. It's also the same case if you graduate from a major university in Manila. Biased, I would say"
2017,"Marketing","University of Santos Tomas","Female",15000,1.168,17520,"No","In span of my almost 3 years here, I only got a raise twice :) now im a senior writer, my pay got better but i need more"
2018,"Architecture","UP System University","Male",6000,1.136,6816,"No",""
2019,"Advertising","Other universities","Female",15000,1.08,16200,"Yes","It was originally 12 or 14 I think but since they really need people they agreed with 15k because that's what the other qualified applicants are also asking."
2020,"Finance","University of the Philippines - Los Baños","Male",18000,1.053,18954,"Yes","They first offered me 16,000 but I demanded an increase since I believe the monthly salary would not suffice my daily expenses. They agreed and gave me the raise."
2017,"Media and Communication","Ateneo System University","Female",10000,1.168,11680,"No","Fresh grad. I was hired 2 months after grad. Only getting paid 10k a month with OT and work on weekends most of the time because its a reporter job. Sa GMA network inc. "
2017,"Government","N/A (Unspecified)","Not specified/Unclear",17325,1.168,20235.6,"Unspecified",""
2015,"Construction and Engineering","University of the Philippines - Diliman","Male",13000,1.191,15483,"No","Tried to ask for P18k, but the interviewer said I was asking too much for a fresh grad in the industry."
2012,"Architecture","Other universities","Female",12000,1.3014,15616.8,"No",""
2012,"Transportation","De La Salle University - Manila","Male",15000,1.3014,19521,"No",""
2015,"Architecture","University of the Philippines - Diliman","Male",15000,1.191,17865,"No","It was a job order position at an attached agency of the government. The starting salary was fixed. "
2017,"Retail","N/A (Unspecified)","Male",18000,1.168,21024,"No",""
2009,"Technology","De La Salle University - Manila","Male",18000,1.477,26586,"No",""
2018,"Business Process Outsourcing","Other universities","Female",18000,1.136,20448,"No",""
2019,"Media and Communication","Polytechnic University of the Philippines - Manila","Male",16000,1.08,17280,"No","I was so desperate of finding a job so I'd accept any offer lol."
2016,"Transportation","Other universities","Female",13000,1.183,15379,"Yes",""
2019,"Other industries","University of the Philippines - Los Baños","Male",17000,1.08,18360,"No",""
2016,"Finance","Other universities","Female",10000,1.183,11830,"No","10k is the proby salary for 6 months, upon regularization, salary was increased to 12k"
2015,"Technology","Other universities","Male",16500,1.191,19651.5,"No",""
2017,"Academe & Education","University of Santos Tomas","Female",11500,1.168,13432,"No",""
2015,"Architecture","Other universities","Female",12000,1.191,14292,"No",""
2018,"Food","Other universities","Male",15000,1.136,17040,"No","I was a training associate in a Japanese resto worked offices based 17k basic salary. Moved to Operations kitchen staff to a minimum salary."
2016,"Hospitality","Other universities","Female",22000,1.183,26026,"No",""
2018,"Other industries","University of the Philippines - Diliman","Male",25000,1.136,28400,"Yes","Salary was non-negotiable for entry level. I compared with my ""batchmates"" and we were identical. My salary has since increased at a higher rate than them due to performance."
2012,"Research","University of Santos Tomas","Male",16781,1.3014,21838.7934,"No","I was hired as project-based employee"
2018,"Technology","University of the Philippines - Diliman","Female",20000,1.136,22720,"No",""
2018,"Advertising","Other universities","Female",12000,1.136,13632,"No",""
2014,"Media and Communication","Other universities","Male",18000,1.234,22212,"No",""
2018,"Government","University of Santos Tomas","Female",22600.48,1.136,25674.14528,"No","Php 22600.48 as basic salary, no benefits"
2010,"Technology","De La Salle University - Manila","Male",13000,1.417,18421,"No","Negotiated for my salary to be 25000 when I was regularized 3 months later"
2007,"Consulting","Other universities","Female",12000,1.645,19740,"Yes",""
2019,"Business Process Outsourcing","Other universities","Female",14000,1.08,15120,"No","The company was a startup, so they were in urgent hiring. I was hired the same day I was interviewed. In the ad, the salary was 15,000 but once I was interviewed they told me that it was a mistake and it was only 14,000. But I did not get any benefits like my SSS and my night differential and it was my first job ever so I didn't know a lot but my employer took advantage of my lack of knowledge. When I resigned, they didn't give me any exit papers nor clearance and up to this day have not given me my last pay. "
2017,"Academe & Education","Other universities","Female",17925,1.168,20936.4,"No","Other allowances such as transportation and rice are not included in the indicated amount."
2016,"Real Estate","FEU System University","Female",15000,1.183,17745,"No",""
2016,"Healthcare","Mapua University - Intramuros","Male",18000,1.183,21294,"Yes","Initial offer was 15k. I had to negotiate really hard for the 18k salary. Lol. "
2009,"Technology","Ateneo de Manila University","Female",18000,1.477,26586,"No","We graduated during the global financial crisis so landing a job was more important than getting a high salary."
2010,"Business","De La Salle University - Manila","Not specified/Unclear",44000,1.417,62348,"No",""
2005,"Marketing","De La Salle University - Manila","Female",9000,1.849,16641,"No","9,000 gross - 6k takehome after taxes, SSS, Philhealth"
2012,"Academe & Education","UP System University","Female",15000,1.3014,19521,"No",""
2017,"Business Process Outsourcing","University of Santos Tomas","Female",18000,1.168,21024,"No","They overwhelmed with a lot of other benefits to make up for the entry-level salary but ultimately it wasn’t really enough so I left."
2016,"Other industries","Other universities","Female",20000,1.183,23660,"No",""
2008,"Business Process Outsourcing","University of Santos Tomas","Female",11000,1.599,17589,"No",""
2012,"Technology","Other universities","Female",16000,1.3014,20822.4,"No","Fresh grad and just wanting to have an experience. I didnt stay long though. Quit after 6 mos since it was a night-shift."
2019,"Media and Communication","University of the Philippines - Diliman","Not specified/Unclear",12000,1.08,12960,"No",""
2018,"Construction and Engineering","Other universities","Female",9490,1.136,10780.64,"No",""
2011,"Media and Communication","Polytechnic University of the Philippines - Manila","Male",10000,1.365,13650,"Yes","SadLyf"
2013,"Accounting","Pamantasan ng Lungsod ng Manila","Female",16000,1.265,20240,"No",""
2019,"Business Process Outsourcing","Other universities","Female",20000,1.08,21600,"No",""
2018,"Media and Communication","Ateneo de Manila University","Female",20000,1.136,22720,"No",""
2018,"Utilities","UP System University","Male",25000,1.136,28400,"No",""
2015,"Government","University of Santos Tomas","Male",18549,1.191,22091.859,"No","Contract of Service. Pay based on Salary Grade 11"
2018,"Marketing","N/A (Unspecified)","Not specified/Unclear",16500,1.136,18744,"Unspecified",""
2019,"Logistics","University of the Philippines - Los Baños","Male",33000,1.08,35640,"No",""
2007,"Business Process Outsourcing","University of Santos Tomas","Female",18000,1.645,29610,"No",""
2019,"Other industries","N/A (Unspecified)","Female",29000,1.08,31320,"Yes",""
2014,"Research","University of the Philippines - Diliman","Female",15000,1.234,18510,"No","This is my base salary during my first job.  As most other new employees, I was under a probationary period to assess my performance. I was entitled to Php 1,500 more as a benefit when after 6 months and I was regularized. (The market research industry is a small pool, but to clarify this includes AGB Nielsen, Kantar/TNS, Millward-Brown, Ipsos and the Philippine Survey and Research Center (PSRC). Our products are ""business insights"", statistical information from which corporations and other clients base their decisions to grow their business. The main goal is to earn profit, gain sales through projects, with the minimized cost. No matter how many projects we had, our salaries stayed the same. In other words, I was overworked and underpaid to the max."
